List,Name,ID,Feature Type
AC-like,GFAP,ENSG00000131095,Gene Expression
AC-like,FABP7,ENSG00000164434,Gene Expression
AC-like,MT3,ENSG00000087250,Gene Expression
AC-like,EGFR,ENSG00000146648,Gene Expression
AC-like,PTN,ENSG00000105894,Gene Expression
AC-like,CLU,ENSG00000120885,Gene Expression
AC-like,CST3,ENSG00000101439,Gene Expression
AC-like,CHCHD2,ENSG00000106153,Gene Expression
AC-like,MIR9-1HG,ENSG00000125462,Gene Expression
AC-like,CRYAB,ENSG00000109846,Gene Expression
AC-like,DBI,ENSG00000155368,Gene Expression
AC-like,BCAN,ENSG00000132692,Gene Expression
AC-like,PTPRZ1,ENSG00000106278,Gene Expression
AC-like,ID3,ENSG00000117318,Gene Expression
AC-like,SEC61G,ENSG00000132432,Gene Expression
AC-like,HOPX,ENSG00000171476,Gene Expression
AC-like,CKB,ENSG00000166165,Gene Expression
AC-like,SPARCL1,ENSG00000152583,Gene Expression
AC-like,PMP2,ENSG00000147588,Gene Expression
AC-like,CNN3,ENSG00000117519,Gene Expression
AC-like,NIPSNAP2,ENSG00000146729,Gene Expression
AC-like,AQP4,ENSG00000171885,Gene Expression
AC-like,GPM6B,ENSG00000046653,Gene Expression
AC-like,NOVA1,ENSG00000139910,Gene Expression
AC-like,TTYH1,ENSG00000167614,Gene Expression
AC-like,IGFBP2,ENSG00000115457,Gene Expression
AC-like,S100B,ENSG00000160307,Gene Expression
AC-like,RAMP1,ENSG00000132329,Gene Expression
AC-like,VIM,ENSG00000026025,Gene Expression
AC-like,TUBB2B,ENSG00000137285,Gene Expression
AC-like,CCT6A,ENSG00000146731,Gene Expression
AC-like,METRN,ENSG00000103260,Gene Expression
AC-like,ID1,ENSG00000125968,Gene Expression
AC-like,GAP43,ENSG00000172020,Gene Expression
AC-like,MT1X,ENSG00000187193,Gene Expression
AC-like,CALD1,ENSG00000122786,Gene Expression
AC-like,NMB,ENSG00000197696,Gene Expression
AC-like,PDGFRA,ENSG00000134853,Gene Expression
AC-like,ID4,ENSG00000172201,Gene Expression
AC-like,S100A16,ENSG00000188643,Gene Expression
AC-like,PCSK1N,ENSG00000102109,Gene Expression
AC-like,AGT,ENSG00000135744,Gene Expression
AC-like,GATM,ENSG00000171766,Gene Expression
