List,Name,ID,Feature Type
Differentiated-like,CHI3L1,ENSG00000133048,Gene Expression
Differentiated-like,SEC61G,ENSG00000132432,Gene Expression
Differentiated-like,CLU,ENSG00000120885,Gene Expression
Differentiated-like,MT3,ENSG00000087250,Gene Expression
Differentiated-like,MT1X,ENSG00000187193,Gene Expression
Differentiated-like,GFAP,ENSG00000131095,Gene Expression
Differentiated-like,MT2A,ENSG00000125148,Gene Expression
Differentiated-like,IGFBP5,ENSG00000115461,Gene Expression
Differentiated-like,SPARCL1,ENSG00000152583,Gene Expression
Differentiated-like,PTN,ENSG00000105894,Gene Expression
Differentiated-like,EGFR,ENSG00000146648,Gene Expression
Differentiated-like,FABP7,ENSG00000164434,Gene Expression
Differentiated-like,IGFBP2,ENSG00000115457,Gene Expression
Differentiated-like,CHCHD2,ENSG00000106153,Gene Expression
Differentiated-like,CRYAB,ENSG00000109846,Gene Expression
Differentiated-like,MIR9-1HG,ENSG00000125462,Gene Expression
Differentiated-like,CNN3,ENSG00000117519,Gene Expression
Differentiated-like,CST3,ENSG00000101439,Gene Expression
Differentiated-like,PTPRZ1,ENSG00000106278,Gene Expression
Differentiated-like,DBI,ENSG00000155368,Gene Expression
Differentiated-like,CPE,ENSG00000109472,Gene Expression
Differentiated-like,ID3,ENSG00000117318,Gene Expression
Differentiated-like,LGALS3,ENSG00000131981,Gene Expression
Differentiated-like,VIM,ENSG00000026025,Gene Expression
Differentiated-like,HOPX,ENSG00000171476,Gene Expression
Differentiated-like,GAP43,ENSG00000172020,Gene Expression
Differentiated-like,IGFBP3,ENSG00000146674,Gene Expression
Differentiated-like,PMP2,ENSG00000147588,Gene Expression
Differentiated-like,HILPDA,ENSG00000135245,Gene Expression
Differentiated-like,VEGFA,ENSG00000112715,Gene Expression
Differentiated-like,CALD1,ENSG00000122786,Gene Expression
Differentiated-like,GPM6B,ENSG00000046653,Gene Expression
Differentiated-like,GAPDH,ENSG00000111640,Gene Expression
Differentiated-like,CCN1,ENSG00000142871,Gene Expression
Differentiated-like,AQP4,ENSG00000171885,Gene Expression
Differentiated-like,NOVA1,ENSG00000139910,Gene Expression
Differentiated-like,CKB,ENSG00000166165,Gene Expression
Differentiated-like,VOPP1,ENSG00000154978,Gene Expression
Differentiated-like,S100A16,ENSG00000188643,Gene Expression
Differentiated-like,NIPSNAP2,ENSG00000146729,Gene Expression
Differentiated-like,NMB,ENSG00000197696,Gene Expression
Differentiated-like,AKAP12,ENSG00000131016,Gene Expression
Differentiated-like,RAMP1,ENSG00000132329,Gene Expression
Differentiated-like,MT1E,ENSG00000169715,Gene Expression
Differentiated-like,BCAN,ENSG00000132692,Gene Expression
Differentiated-like,SPARC,ENSG00000113140,Gene Expression
Differentiated-like,S100A6,ENSG00000197956,Gene Expression
Differentiated-like,CCT6A,ENSG00000146731,Gene Expression
Differentiated-like,NRN1,ENSG00000124785,Gene Expression
Differentiated-like,TUBB2B,ENSG00000137285,Gene Expression
Stem-like,CDK4,ENSG00000135446,Gene Expression
Stem-like,TUBA1A,ENSG00000167552,Gene Expression
Stem-like,TUBB2B,ENSG00000137285,Gene Expression
Stem-like,SOX4,ENSG00000124766,Gene Expression
Stem-like,MARCKSL1,ENSG00000175130,Gene Expression
Stem-like,BCAN,ENSG00000132692,Gene Expression
Stem-like,HES6,ENSG00000144485,Gene Expression
Stem-like,STMN1,ENSG00000117632,Gene Expression
Stem-like,CKB,ENSG00000166165,Gene Expression
Stem-like,RP11-620J15.3,ENSG00000257698,Gene Expression
Stem-like,GPM6A,ENSG00000150625,Gene Expression
Stem-like,MTRNR2L8,ENSG00000255823,Gene Expression
Stem-like,NNAT,ENSG00000053438,Gene Expression
Stem-like,RBP1,ENSG00000114115,Gene Expression
Stem-like,SCRG1,ENSG00000164106,Gene Expression
Stem-like,PTPRZ1,ENSG00000106278,Gene Expression
Stem-like,NOVA1,ENSG00000139910,Gene Expression
Stem-like,FXYD6,ENSG00000137726,Gene Expression
Stem-like,TUBB,ENSG00000196230,Gene Expression
Stem-like,PFN2,ENSG00000070087,Gene Expression
Stem-like,MLLT11,ENSG00000213190,Gene Expression
Stem-like,OLIG1,ENSG00000184221,Gene Expression
Stem-like,STMN2,ENSG00000104435,Gene Expression
Stem-like,PTN,ENSG00000105894,Gene Expression
Stem-like,UCHL1,ENSG00000154277,Gene Expression
Stem-like,DLL3,ENSG00000090932,Gene Expression
Stem-like,MAP2,ENSG00000078018,Gene Expression
Stem-like,IGFBP2,ENSG00000115457,Gene Expression
Stem-like,SOX11,ENSG00000176887,Gene Expression
Stem-like,H4C3,ENSG00000197061,Gene Expression
Stem-like,OS9,ENSG00000135506,Gene Expression
Stem-like,BEX1,ENSG00000133169,Gene Expression
Stem-like,TSFM,ENSG00000123297,Gene Expression
Stem-like,NFIB,ENSG00000147862,Gene Expression
Stem-like,MIR9-1HG,ENSG00000125462,Gene Expression
Stem-like,MEG3,ENSG00000214548,Gene Expression
Stem-like,OLIG2,ENSG00000205927,Gene Expression
Stem-like,TCF4,ENSG00000196628,Gene Expression
Stem-like,TUBB2A,ENSG00000137267,Gene Expression
Stem-like,PCSK1N,ENSG00000102109,Gene Expression
Stem-like,MAP1B,ENSG00000131711,Gene Expression
Stem-like,MARCHF9,ENSG00000139266,Gene Expression
Stem-like,TUBA1B,ENSG00000123416,Gene Expression
Stem-like,TSPAN31,ENSG00000135452,Gene Expression
Stem-like,SCD5,ENSG00000145284,Gene Expression
Glial-Neuronal,PLP1,ENSG00000123560,Gene Expression
Glial-Neuronal,PTGDS,ENSG00000107317,Gene Expression
Glial-Neuronal,PPP1R14A,ENSG00000167641,Gene Expression
Glial-Neuronal,MBP,ENSG00000197971,Gene Expression
Glial-Neuronal,TF,ENSG00000091513,Gene Expression
Glial-Neuronal,CNP,ENSG00000173786,Gene Expression
Glial-Neuronal,QDPR,ENSG00000151552,Gene Expression
Glial-Neuronal,MAG,ENSG00000105695,Gene Expression
Glial-Neuronal,CLDND1,ENSG00000080822,Gene Expression
Glial-Neuronal,APOD,ENSG00000189058,Gene Expression
Glial-Neuronal,APLP1,ENSG00000105290,Gene Expression
Glial-Neuronal,SELENOP,ENSG00000250722,Gene Expression
Glial-Neuronal,CLDN11,ENSG00000013297,Gene Expression
Glial-Neuronal,CRYAB,ENSG00000109846,Gene Expression
Glial-Neuronal,ERMN,ENSG00000136541,Gene Expression
Glial-Neuronal,CNDP1,ENSG00000150656,Gene Expression
Glial-Neuronal,TMEM144,ENSG00000164124,Gene Expression
Glial-Neuronal,S100B,ENSG00000160307,Gene Expression
Glial-Neuronal,S100A1,ENSG00000160678,Gene Expression
